Map Data Name,Your Canonical Name,Notes,Fun Fact
Guatemala,Guatemala,,"Guatemala ?? - Guatemala has 37 volcanoes, and three are still active."
Guernsey,,,
Guinea,Guinea,,"Guinea ?? - Guinea is home to the djembe drum, one of West Africa's most important percussion instruments."
Guinea-Bissau,Guinea-Bissau,,Guinea-Bissau ?? - Guinea-Bissau's Bijagós Archipelago is a UNESCO Biosphere Reserve home to hippos and saltwater wildlife.
Guyana,Guyana,,"Guyana ?? - Guyana is home to Kaieteur Falls, one of the world's most powerful waterfalls."
Haiti,Haiti,,Haiti ?? - Haiti was the first independent nation in Latin America and the first black-led republic in the world.
Heard I. and McDonald Is.,,,
Honduras,Honduras,,"Honduras ?? - Honduras' Bay Islands contain part of the Mesoamerican Barrier Reef, the second-largest coral reef system in the world."
Hong Kong,,,
Hungary,Hungary,,Hungary ?? - Hungary has won more Olympic medals per capita than almost any other nation.
Iceland,Iceland,,Iceland ?? - Iceland has no mosquitoes due to its unique climate patterns.
India,India,,"India ?? - India has the world's largest postal network, with over 150,000 post offices."
Indian Ocean Ter.,,,
Indonesia,Indonesia,,"Indonesia ?? - Indonesia has the most volcanoes of any country, with over 130 active volcanoes."
Iran,Iran,,"Iran ?? - Iran is home to one of the world's oldest civilizations, with a history spanning over 7,000 years."
Iraq,Iraq,,"Iraq ?? - Ancient Mesopotamia in Iraq is considered the ""Cradle of Civilization"" where writing was invented."
Ireland,Ireland,,"Ireland ?? - Ireland has no snakes, according to legend because St. Patrick drove them all out."
Isle of Man,,,
Israel,Israel,,Israel ?? - The Dead Sea in Israel is the lowest point on Earth's surface at 430 meters below sea level.
Italy,Italy,,Italy ?? - Italy has more UNESCO World Heritage Sites than any other country—59 at last count.
Jamaica,Jamaica,,"Jamaica ?? - Jamaica has produced the world's fastest sprinters, including Usain Bolt, the fastest human ever recorded."
Japan,Japan,,"Japan ?? - Japan has over 6,800 islands, though most of its population lives on the four largest."
Jersey,,,
Jordan,Jordan,,"Jordan ??? - Petra, Jordan's ancient city carved into rose-red cliffs, is one of the New Seven Wonders of the World."
Kazakhstan,Kazakhstan,,"Kazakhstan ?? - Kazakhstan is home to the Baikonur Cosmodrome, the world's first and largest space launch facility."
Kenya,Kenya,,"Kenya ?? - Kenya's Lake Nakuru attracts millions of pink flamingos, creating stunning pink shorelines."
Kiribati,Kiribati,,Kiribati ?? - Kiribati is the only country in the world located in all four hemispheres.
Kosovo,Kosovo,,"Kosovo ?? - Kosovo is Europe's youngest country, having declared independence in 2008."
Kuwait,Kuwait,,Kuwait ??? - Kuwait has one of the world's highest GDP per capita due to its vast oil reserves.
Kyrgyzstan,Kyrgyzstan,,"Kyrgyzstan ??? - Over 90% of Kyrgyzstan is mountainous, earning it the nickname ""Switzerland of Central Asia."""
Laos,Laos,,"Laos ?? - Laos was once known as ""Lan Xang"" or the ""Kingdom of a Million Elephants."""
Latvia,Latvia,,"Latvia ?? - Riga, Latvia, claims to have had the world's first decorated Christmas tree in 1510."
Lebanon,Lebanon,,Lebanon ?? - Lebanon's cedar trees are depicted on its flag and have been valued since ancient times for shipbuilding.
Lesotho,Lesotho,,"Lesotho ??? - Lesotho is the only country in the world entirely above 1,000 meters in elevation."
Liberia,Liberia,,"Liberia ???? - Liberia's flag closely resembles the United States flag, reflecting its history as a settlement for freed American slaves."
Libya,Libya,,"Libya ??? - Libya is over 90% desert, including part of the vast Sahara."
Liechtenstein,Liechtenstein,,Liechtenstein ?? - Liechtenstein is the world's largest producer of false teeth.
Lithuania,Lithuania,,Lithuania ?? - Lithuania was the first Soviet republic to declare independence in 1990.
Luxembourg,Luxembourg,,Luxembourg ?? - Luxembourg has the highest minimum wage in the European Union.
Macao,,,
Macedonia,North Macedonia,,"North Macedonia ?? - Lake Ohrid in North Macedonia is one of Europe's oldest and deepest lakes, over 1.3 million years old."
Madagascar,Madagascar,,"Madagascar ?? - About 90% of Madagascar's wildlife exists nowhere else on Earth, including all lemur species."
Malawi,Malawi,,Malawi ?? - Lake Malawi contains more fish species than any other lake in the world.
Malaysia,Malaysia,,"Malaysia ?? - Malaysia's Rafflesia produces the world's largest flower, measuring up to 1 meter across."
Maldives,Maldives,,"Maldives ??? - The Maldives is the world's lowest-lying country, with an average elevation of just 1.5 meters above sea level."
Mali,Mali,,Mali ?? - Timbuktu in Mali was a major center of Islamic learning with thousands of ancient manuscripts still preserved.
Malta,Malta,,"Malta ??? - Malta has some of the world's oldest freestanding structures, predating Stonehenge and the pyramids."
Marshall Is.,Marshall Islands,,Marshall Islands ?? - The Marshall Islands were the site of 67 nuclear tests by the United States between 1946 and 1958.
Mauritania,Mauritania,,"Mauritania ?? - Mauritania has one of the world's longest trains, with iron ore trains stretching up to 3 kilometers long."
Mauritius,Mauritius,,"Mauritius ?? - Mauritius was the only known home of the dodo bird, which went extinct in the 17th century."
Mexico,Mexico,,Mexico ?? - Mexican cuisine was declared an Intangible Cultural Heritage by UNESCO.
Micronesia,Micronesia,,"Micronesia ?? - Micronesia's Nan Madol features ancient ruins built on artificial islands, sometimes called the ""Venice of the Pacific."""
Moldova,Moldova,,"Moldova ?? - Moldova has the world's largest wine cellar, stretching 200 kilometers underground."
Monaco,Monaco,,Monaco ?? - Monaco is the world's second-smallest country but has the world's highest number of millionaires per capita.
Mongolia,Mongolia,,"Mongolia ?? - Mongolia has more horses than people, with about 3 million horses for 3.3 million people."
Montenegro,Montenegro,,"Montenegro ?? - Montenegro's name literally means ""Black Mountain"" in Venetian."
Montserrat,,,
Morocco,Morocco,,Morocco ?? - Morocco is home to tree-climbing goats that scale argan trees to eat the fruit.
Mozambique,Mozambique,,Mozambique ?? - Mozambique is the only country with an AK-47 rifle on its national flag.
Myanmar,Myanmar,,Myanmar ?? - Myanmar produces over 90% of the world's rubies.
N. Cyprus,Cyprus,,"Cyprus ?? - Cyprus produces halloumi cheese, which has been made on the island for centuries and doesn't melt when grilled."
N. Mariana Is.,,,
Namibia,Namibia,,"Namibia ??? - Namibia has the world's oldest desert, the Namib, which is about 55 million years old."
Nauru,Nauru,,Nauru ?? - Nauru is the world's third-smallest country and was once the richest per capita due to phosphate mining.
Nepal,Nepal,,"Nepal ??? - Nepal is home to eight of the world's ten highest mountains, including Mount Everest."
Netherlands,Netherlands,,"Netherlands ?? - The Netherlands has more bicycles than people, with over 22 million bikes for 17 million residents."
New Caledonia,,,
New Zealand,New Zealand,,"New Zealand ?? - New Zealand was the last major landmass to be settled by humans, around 1300 CE."
Nicaragua,Nicaragua,,Nicaragua ?? - Nicaragua has both the largest lake in Central America and the only freshwater sharks in the world.
Niger,Niger,,Niger ?? - Niger is home to the last wild population of West African giraffes.
Nigeria,Nigeria,,Nigeria ?? - Nigeria is Africa's most populous country and is projected to become the third most populous country in the world by 2050.
Niue,,,
Norfolk Island,,,
North Korea,North Korea,,"North Korea ?? - North Korea uses a different calendar system based on Kim Il-sung's birth year, called the Juche calendar."
Norway,Norway,,"Norway ??? - Norway's sovereign wealth fund, built from oil revenues, is the world's largest, worth over $1 trillion."
Oman,Oman,,Oman ?? - Oman has no rivers but has spectacular wadis (dry riverbeds) that occasionally fill with water.
Pakistan,Pakistan,,"Pakistan ??? - Pakistan has five of the world's fourteen ""eight-thousanders"" (peaks over 8,000 meters), including K2."
Palau,Palau,,"Palau ?? - Palau has the world's first shark sanctuary and Jellyfish Lake, containing millions of harmless golden jellyfish."
Palestine,Palestine,,"Palestine ??? - Jericho in Palestine is one of the world's oldest continuously inhabited cities, dating back 11,000 years."
Panama,Panama,,"Panama ?? - The Panama Canal handles about 6% of world trade, with ships crossing between oceans."
Papua New Guinea,Papua New Guinea,,"Papua New Guinea ??? - Papua New Guinea has the most languages in the world, with over 840 living languages."
Paraguay,Paraguay,,"Paraguay ?? - Paraguay has the world's largest navy of any landlocked country, operating on its extensive river systems."
Peru,Peru,,"Peru ?? - Peru is home to Machu Picchu and has over 3,000 varieties of potatoes."
Philippines,Philippines,,"Philippines ?? - Filipinos send more text messages than any other nationality, earning Manila the title ""texting capital of the world."""
Pitcairn Is.,,,
Poland,Poland,,"Poland ?? - Poland is the birthplace of Marie Curie, the first woman to win a Nobel Prize and the only person to win Nobel Prizes in two different sciences."
Portugal,Portugal,,Portugal ?? - Portugal's Vasco da Gama Bridge is Europe's longest bridge at 17 kilometers.
Puerto Rico,,,
Qatar,Qatar,,"Qatar ?? - Qatar has indoor skiing facilities despite being in the desert, with temperatures outside reaching 50°C."
Romania,Romania,,"Romania ?? - Romania's Bran Castle is associated with the Dracula legend, though Vlad the Impaler never lived there."
Russia,Russia,,"Russia ?? - Russia spans 11 time zones, more than any other country."
Rwanda,Rwanda,,Rwanda ?? - Rwanda is one of only three countries where you can see endangered mountain gorillas in the wild.
S. Geo. and the Is.,,,
S. Sudan,South Sudan,,"South Sudan ?? - South Sudan is the world's youngest country, gaining independence in 2011."
Saint Helena,,,
Saint Lucia,St Lucia,,"St Lucia ?? - St Lucia is the only country named after a woman, Saint Lucy of Syracuse."
Samoa,Samoa,,"San Marino ??? - San Marino claims to be the world's oldest republic, founded in 301 CE."
San Marino,San Marino,,"Saudi Arabia ?? - Saudi Arabia is home to Islam's two holiest sites, Mecca and Medina."
Saudi Arabia,Saudi Arabia,,Senegal ??? - Senegal's Lake Retba (Lac Rose) is naturally pink due to algae and has salt content comparable to the Dead Sea.
Senegal,Senegal,,"Serbia ?? - Serbia has one of the world's largest brass band festivals, the Gu?a Trumpet Festival."
Serbia,Serbia,,"Seychelles ?? - Seychelles is home to the coco de mer palm, which produces the largest seed in the plant kingdom."
Seychelles,Seychelles,,
Siachen Glacier,,,
Sierra Leone,Sierra Leone,,"Sierra Leone ?? - Sierra Leone's name means ""Lion Mountains,"" named for the shape of the mountains around Freetown."
Singapore,Singapore,,"Singapore ?? - Singapore has planted over 2 million trees and is often called a ""Garden City."""
Sint Maarten,,,
Slovakia,Slovakia,,Slovakia ?? - Slovakia has more castles per capita than any other country in the world.
Slovenia,Slovenia,,"Slovenia ?? - Slovenia is home to significant brown bear populations, with about 500 bears in its forests."
Solomon Is.,Solomon Islands,,"Solomon Islands ??? - The Solomon Islands has over 900 islands, though only about 350 are inhabited."
Somalia,Somalia,,Somalia ?? - Somalia has the longest coastline in mainland Africa.
Somaliland,,,
South Africa,South Africa,,South Africa ?? - South Africa is home to 80% of the world's remaining rhinos.
South Korea,South Korea,,South Korea ?? - South Korea has the world's fastest average internet speed.
Spain,Spain,,Spain ?? - Spain has the third-most UNESCO World Heritage Sites in the world.
Sri Lanka,Sri Lanka,,Sri Lanka ?? - Sri Lanka has the highest density of leopards in the world at Yala National Park.
St-BarthÃ©lemy,,,
St-Martin,,,
St. Kitts and Nevis,St Kitts & Nevis,,"St Kitts & Nevis ?? - St Kitts was once called ""The Sugar Factory of the West Indies"" and sugar production dominated the island's economy for over 350 years until 2005."
St. Pierre and Miquelon,,,
St. Vin. and Gren.,St Vincent & the Grenadines,,"St Vincent & the Grenadines ?? - St Vincent's Tobago Cays were featured in ""Pirates of the Caribbean."""
Sudan,Sudan,,"Sudan ?? - Sudan has more ancient pyramids than Egypt, with over 200 pyramids."
Suriname,Suriname,,"Suriname ?? - Over 90% of Suriname is covered in rainforest, one of the highest percentages in the world."
Sweden,Sweden,,"Sweden ?? - Sweden has a tradition called ""fika""—a coffee break considered essential to Swedish culture."
Switzerland,Switzerland,,Switzerland ?? - Switzerland has more than 450 varieties of cheese and consumes the most chocolate per capita.
Syria,Syria,,"Syria ??? - Damascus, Syria's capital, is considered one of the oldest continuously inhabited cities in the world."
SÃ£o TomÃ© and Principe,Sao Tome & Principe,,Sao Tome & Principe ?? - São Tomé and Príncipe is a major cocoa producer and was once the world's largest.
Taiwan,Taiwan,,Taiwan ??? - Taiwan has more than 15 million scooters for 23 million people.
Tajikistan,Tajikistan,,"Tajikistan ?? - Over 90% of Tajikistan is mountainous, part of the Pamir and Tian Shan ranges."
Tanzania,Tanzania,,Tanzania ?? - Tanzania's Serengeti hosts the world's largest terrestrial mammal migration.
Thailand,Thailand,,Thailand ?? - Thailand is the only Southeast Asian country never colonized by a European power.
Timor-Leste,East Timor,,East Timor ? - East Timor (Timor-Leste) produces some of the world's finest organic coffee.
Togo,Togo,,Togo ?? - Togo is one of the world's largest producers of phosphates.
Tonga,Tonga,,Tonga ?? - Tonga is the only remaining Polynesian monarchy.
Trinidad and Tobago,Trinidad & Tobago,,"Trinidad & Tobago ?? - Trinidad and Tobago is the birthplace of steelpan, the only acoustic instrument invented in the 20th century."
Tunisia,Tunisia,,Tunisia ?? - Tunisia was a major filming location for the Star Wars movies.
Turkey,Turkey,,"Turkey ?? - Istanbul, Turkey, is the only city in the world located on two continents, Europe and Asia."
Turkmenistan,Turkmenistan,,"Turkmenistan ?? - Turkmenistan's ""Door to Hell"" is a natural gas crater that has been burning continuously since 1971."
Turks and Caicos Is.,,,
U.S. Virgin Is.,,,
Uganda,Uganda,,"Uganda ?? - Uganda is the source of the Nile River, with the White Nile beginning its 6,650-kilometer journey from Lake Victoria at Jinja."
Ukraine,Ukraine,,Ukraine ?? - Ukraine is the world's largest producer of sunflower oil.
United Arab Emirates,United Arab Emirates,,United Arab Emirates ??? - The UAE's Burj Khalifa is the world's tallest building at 828 meters.
United Kingdom,United Kingdom,,United Kingdom ?? - The UK has no locations more than 115 kilometers from the sea.
United States of America,United States,,United States ?? - The United States has no official language at the federal level.
Uruguay,Uruguay,,Uruguay ? - Uruguay generates 98% of its electricity from renewable sources.
Uzbekistan,Uzbekistan,,Uzbekistan ?? - Uzbekistan is one of only two double-landlocked countries (landlocked and surrounded by landlocked countries).
Vanuatu,Vanuatu,,"Vanuatu ?? - Vanuatu has an active volcano, Mount Yasur, where you can stand on the rim and watch eruptions."
Vatican,Vatican City,,Vatican City ?? - Vatican City is the world's smallest country at just 0.44 square kilometers.
Venezuela,Venezuela,,"Venezuela ?? - Venezuela is home to Angel Falls, the world's highest uninterrupted waterfall at 979 meters."
Vietnam,Vietnam,,Vietnam ? - Vietnam is the world's second-largest coffee producer after Brazil.
W. Sahara,,,
Wallis and Futuna Is.,,,
Yemen,Yemen,,Yemen ? - Yemen is believed to be where coffee was first cultivated for drinking in the 15th century.
Zambia,Zambia,,"Zambia ?? - Zambia is home to Victoria Falls, one of the Seven Natural Wonders of the World."
Zimbabwe,Zimbabwe,,Zimbabwe ?? - Zimbabwe is one of the world's top producers of lithium and has the second-largest platinum reserves.
eSwatini,Swaziland,,Swaziland (Eswatini) ?? - Eswatini (formerly Swaziland) is one of Africa's last absolute monarchies.
Ã…land,,,
,Tuvalu,not in map data,"Tuvalu ??? - Tuvalu earns significant revenue from its internet domain "".tv,"" which is popular with television stations."
,Nauru (manual),manual entry for independent count,Nauru ??? - Nauru once had the highest GDP per capita in the world due to phosphate mining but depleted its resources.
